契約,ch,種別,CIRCUITNUMBER,EXTRANUMBER,Product,ch,消費,tenant,,請求確認企業,必要対応,,"回線数
0ABJ:¥500 FC:¥2,000","ch
¥1,500
ユニットchの対応が必要かどうか",IP回線基本料,担当,
"【再販050番号契約２】050番号（E-circuit05 ⑧）
d622491292
26ch
本契約コードの次回申請は7/20以降の申請が可能",13,基本番号,05031861149,,,,,No matching records found,,,,,,,,,
,,追加番号,05032051671,,Lead,6ch,6ch,nec,,NECネクサソリューションズ株式会社,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AF8YFtNdydZnumwvZ9Nrpaw
,,追加番号,05030936265,,Lead,1ch,1ch,microad,,株式会社マイクロアド,対応不要,,◯,◯,なし,,https://widsley.lightning.force.com/lightning/r/Opportunity/0062t0000057GLYAA2/related/OpportunityLineItems/view
,,追加番号,05030942057,,Lead,6ch,6ch,global-cast,,株式会社グローバルキャスト,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AKPoxwC6o2TZY6-ZPfpBPCA
,,,,,,,,,,,,,,,,,
"【再販050番号契約３】050番号（E-circuit05 ⑨）
d808162899
1ch
本契約コードの次回申請は4/28以降の申請が可能",16,基本番号,05031861072,,,,,No matching records found,,,,,,,,,
,,追加番号,05031861073,,Lead,1ch,1ch,latest01,,株式会社レイテスト,,IP回線基本料ー確認必要,◯,◯,"あり（4,500）",,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AgPtmpYOKL0jHACanUIXnUw
,,,0800追加依頼中,,,15ch,15ch,,,株式会社MartialACEHoldeings,対応不要,,◯,◯,なし,,https://widsley.lightning.force.com/lightning/r/Opportunity/0062t000006tkr7AAA/related/OpportunityLineItems/view
,,,,,,,,,,,,,,,,,
"【再販050番号契約４】050番号（F-circuit05 ⑥）
d361003019
18ch
本契約コードの次回申請は5/11以降の申請が可能",18,基本番号,05031598534,,,,,No matching records found,,,,,,,,,
,,追加番号,05031598535,08000807592,Lead,18ch,18ch,doorsholdings,,株式会社ドアーズ,対応不要,,◯,"◯

【ユニットch対応】以下3パターン
①手数料をいただいてグループ化を実施（＋SA~SC回線へ同番移行）
②18chを9回線で分け合うか
③18*9で162chいただくか","あり（4,500）",,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AuOLB1Nju8S1oWaIaN6ccMg
,,追加番号,05031598630,08005006209,Lead,18ch,,doorsholdings,,,,,,,,,
,,追加番号,05031598631,08007009584,Lead,18ch,,doorsholdings,,,,,,,,,
,,追加番号,05031598632,0120959088,Lead,18ch,,doorsholdings,,,,,,,,,
,,追加番号,05031598633,08000807756,Lead,18ch,,doorsholdings,,,,,,,,,
,,追加番号,05031350467,08007009732,Lead,18ch,,doorsholdings,,,,,,,,,
,,追加番号,05031741369,0120959495,Lead,18ch,,doorsholdings,,,,,,,,,
,,追加番号,05031985525,0120977258,Lead,18ch,,doorsholdings,,,,,,,,,
,,追加番号,05031985690,0120944874,Lead,18ch,,doorsholdings,,,,,,,,,
,,,,,,,,,,,,,,,,,
"【再販050番号契約５】050番号（E-circuit05 ⑩）
d774328574
26ch
本契約コードの次回申請は8/24以降の申請が可能",16,基本番号,05031861076,,,,,No matching records found,,,,,,,,,
,,追加番号,05031861168,,Lead,3ch,3ch,willplace,,株式会社WillPlace,請求修正ー確認必要,IP回線基本料ー確認必要,【不足】番号利用料0ABJ：1不足,【不足】チャネル利用料：4chなので1ch不足,"あり（1,000）",,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AZRt9zVhzcC8RBBc5VhXWzQ
,,追加番号,05031598531,,Lead,,1ch,willplace,,,,,,,,,
,,追加番号,05031861177,,Lead,3ch,3ch,appgood01,,株式会社アプリグッド,,IP回線基本料ー確認必要,◯,◯,"あり（4,500）",,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AFIOKhppZJwzC-R6si8r16w
,,追加番号,05030922341,08000803735,Lead,9ch,9ch,blw02,,株式会社Best Life Works,,IP回線基本料ー確認必要,◯,◯,"あり（4,500）",,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3A2ttINmaU_rtCLl8CXLfbkA
,,,,,,,,,,,,,,,,,
"【再販050番号契約６】050番号（F-circuit07 ①）
d906499900
100ch
本契約コードの次回申請は8/18以降の申請が可能",138,基本番号,05031982028,,,,,No matching records found,,,,,,,,,
,,追加番号,05031982072,,Lead,1ch,1ch,apexline,,株式会社アペックスライン,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AX2a9NiWZpdanqqoEio0WAw
,,追加番号,05031982073,,Lead,1ch,1ch,apexline,,,,,,,,,
,,追加番号,05030946271,,Lead,,71ch,trinias01,,株式会社トリニアス,,,,,,,
,,追加番号,05030946338,,Lead,,,trinias01,,,,,,,,,
,,追加番号,05030946347,,Lead,,,trinias01,,,,,,,,,
,,追加番号,05030946516,,Lead,,,trinias01,,,,,,,,,
,,追加番号,05030946694,,Lead,,,trinias01,,,,,,,,,
,,追加番号,05030946807,,Lead,,,trinias01,,,,,,,,,
,,追加番号,05030946850,,Lead,,,trinias01,,,,,,,,,
,,追加番号,05030947043,,Lead,,,trinias01,,,,,,,,,
,,追加番号,05030947050,,Lead,,,trinias01,,,,,,,,,
,,追加番号,,,Lead,,,trinias01,,,,,,,,,
,,追加番号,,,Lead,,,trinias01,,,,,,,,,
,,追加番号,,,Lead,,,trinias01,,,,,,,,,
,,追加番号,05030947059,08001239149,Lead,50ch,50ch,myhm,,株式会社マイホム,請求修正ー確認必要,,"確認中
https://widsley.slack.com/archives/C02EUMECCJV/p1692778645150899?thread_ts=1686563118.372669&cid=C02EUMECCJV",【不足】チャネル利用料：実提供回線「08001239149」が50chなので、21chしか請求できていない→29ch不足,なし,ayui,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AFjHrofPxS8jwqogQP2eTTg
,,追加番号,05030947682,08003005688,Lead,15ch,15ch,yamato-r,,株式会社大和不動産,請求修正ー確認必要,,【過剰】番号利用料フリーダイヤル：1過剰,◯,なし,ayui,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AFT5Wf7yxOcE21BDDmGVBZQ
,,,,,,,,,,,,,,,,,
"【再販050番号契約７】050番号（E-circuit10 ①）
d876547547
70ch
本契約コードの次回申請は8/18以降の申請が可能",36,基本番号,05031747239,,,,,No matching records found,,,,,,,,,
,,追加番号,05030957850,,Lead,2ch,2ch,croel,,株式会社クロエル,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AzIOlxJXoM4m0UMcAFP5xCg
,,追加番号,05030957851,,Lead,3ch,3ch,croel,,,,,,,,,
,,追加番号,05030922345,,Lead,2ch,2ch,cynthialy,,Cynthialy株式会社,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AojvWjIz69ZrBdV4PteNsWQ
,,追加番号,05030936001,,Lead,2ch,2ch,openstore-japan,,オープンストア株式会社,請求修正ー確認必要,,【不足】番号利用料0ABJ：2不足,"【ユニットch対応】以下3パターン
①手数料をいただいてグループ化を実施（＋SA~SC回線へ同番移行）
②2chを2回線で分け合うか
③2*2で4chいただくか",なし,ota,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AW8RKQZXs5gsJF3IfCI4iZA
,,追加番号,05030936397,,Lead,2ch,,openstore-japan,,,,,,,,,
,,追加番号,05030922346,,Lead,1ch,1ch,vessel,,株式会社VESSEL,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AuE6bakr1hc0xLED5TcSh5Q
,,追加番号,05030946176,,Lead,1ch,1ch,sasuke,,株式会社佐助,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3A_7Jnw6Yk5IJbP-Ge6uu07w
,,追加番号,05030946202,,Lead,1ch,1ch,cocoo,,コクー株式会社,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3ARMVroFkDyR3i-8JWCnnwXQ
,,追加番号,05030946205,,Lead,7ch,7ch,conple,,株式会社conple,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AMkUM2Z3iK-M0UBOSmDqtLQ
,,追加番号,05030946216,,Lead,1ch,1ch,global-cast,,株式会社グローバルキャスト,,,,,,,
,,追加番号,05030946241,,Lead,4ch,4ch,bring-job,,株式会社bring,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AyMdjBH0KA0IrMBVOIGU8-g
,,追加番号,05030946335,,Lead,1ch,1ch,k1te,,株式会社Kite,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3ArZVrrr7h6umqURWzZUg2ww
,,追加番号,05030946504,,Lead,4ch,4ch,eliale,,株式会社EliAle,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AzYvCYMPV7ADir238M2B8VA
,,追加番号,05030946510,,Lead,1ch,1ch,so-mi,,株式会社想実,,,,,,,
,,追加番号,05030946804,,Lead,1ch,1ch,so-mi,,株式会社想実,,,,,,,
,,追加番号,05030946810,,Lead,3ch,3ch,gm-j,,GM住販株式会社,,,,,,,
,,追加番号,05030946849,,Lead,1ch,1ch,e-mana,,株式会社エネマネ,請求修正ー確認必要,,"【不足】番号利用料0ABJ：1不足
→SFへ商品追加が必要（請求開始問わず）","【不足】チャネル利用料：1不足
→SFへ商品追加が必要（請求開始問わず）",なし,atsuki,https://widsley.lightning.force.com/lightning/r/Opportunity/0062t0000057ZlhAAE/related/OpportunityLineItems/view
,,追加番号,05030947051,,Lead,1ch,1ch,resens,,株式会社Resens,請求修正ー確認必要,,"【不足】番号利用料0ABJ：1不足
→SFへ商品追加が必要（請求開始問わず）","【不足】チャネル利用料：1不足
→SFへ商品追加が必要（請求開始問わず）",なし,atsuki,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AiXdxp6zvnmALtPuLRD5Jfw
,,追加番号,05030980623,0120926298,Lead,5ch,5ch,wiles,,合同会社WILES,対応不要,,◯,◯,なし,,https://widsley.lightning.force.com/lightning/r/Opportunity/0062t0000057eXkAAI/related/OpportunityLineItems/view
,,追加番号,05030980630,0120769209,Lead,3ch,3ch,wiles,,,,,,,,,
,,,,,,,,,,,,,,,,,
"【再販050番号契約８】050番号（G-circuit10 ①）
d956191305
177ch
本契約コードの次回申請は8/31以降の申請が可能",119,基本番号,05030950243,,,,,No matching records found,,,,,,,,,
,,追加番号,05030950246,,Lead,1ch,1ch,crp,,株式会社カスタマーリソースプランニング,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3Ad2RPpJciJ1LhTodv4dBtvg
,,追加番号,05030950251,,Lead,1ch,1ch,tsumikitech,,Tsumiki Tech株式会社,請求修正ー確認必要,IP回線基本料ー確認必要,◯,【過剰】チャネル利用料：単価が500円高い,"あり（4,500）",ota,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AVHPslaFRANzMPyHXbbGv-w
,,追加番号,05030950252,,Lead,5ch,5ch,e3,,株式会社E-3,,,,,,,
,,追加番号,05030952469,0120984344,Lead,1ch,1ch,relife-partner,,株式会社リライフパートナー,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3Awcwjl2T_sBLV_Cx0-dmHiQ
,,追加番号,05030952630,0120907198,Lead,6ch,6ch,b-minded01,,ブロードマインド株式会社,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3ACFmCYPwH2YlWoIfFogoQuQ
,,追加番号,05030907096,,Lead,1ch,1ch,b-minded01,,,,,,,,,
,,追加番号,05030952632,0120914187,Lead,1ch,1ch,smilymethod,,株式会社スマイリーメソッド,請求修正ー確認必要,,【不足】番号利用料フリーダイヤル：1不足,【不足】チャネル利用料：2不足,なし,ayui,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AQhr7OvAytKKACXf-lEd8cg
,,追加番号,05030952633,0120914276,Lead,2ch,2ch,smilymethod,,,,,,,,,
,,追加番号,05030907092,0120944023,Lead,1ch,1ch,smilymethod,,,,,,,,,
,,追加番号,05030980238,0120925044,Lead,1ch,1ch,smilymethod,,,,,,,,,
,,追加番号,05030980239,0120925198,Lead,2ch,2ch,smilymethod,,,,,,,,,
,,追加番号,05030907093,0120993015,Lead,2ch,2ch,smart-alive,,スマート・アライブ株式会社,請求修正ー確認必要,IP回線基本料ー確認必要,【過剰】番号利用料フリーダイヤル：1過剰,"【過剰】チャネル利用料：2過剰
【不足】チャネル利用料：単価が150→1,500に","あり（3,003）",ayui,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AGsLNT-QdoOBLi1ZU8nCMGA
,,追加番号,05030907094,0120993332,Lead,4ch,4ch,tsuhan-ohkoku,,株式会社通販王国,請求修正ー確認必要,,◯,"【ユニットch対応】以下3パターン
①手数料をいただいてグループ化を実施（＋SA~SC回線へ同番移行）
②4chを2回線で分け合うか
③4 *2で8chいただくか",なし,ayui,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AHOMTLGm35anxslBVgzRvOA
,,追加番号,05030922342,,Lead,4ch,,tsuhan-ohkoku,,,,,,,,,
,,追加番号,05030907098,,Lead,5ch,5ch,nitteilife,,株式会社ニッテイライフ,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3ABxszSEtGhzDzbmu-4VZe4w
,,追加番号,05030907099,,Lead,1ch,1ch,appgood01,,株式会社アプリグッド,,,,,,,
,,追加番号,05030922466,,Lead,1ch,1ch,appgood01,,株式会社アプリグッド,,,,,,,
,,追加番号,05030909413,,Lead,3ch,3ch,edoone,,株式会社エドワン,請求修正ー確認必要,,"【不足】番号利用料0ABJ：1不足
→SFへ商品追加が必要","【不足】チャネル利用料：3不足
→SFへ商品追加が必要",なし,ayui,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3Aaewdp3M3EHSgXCY5zQsj8Q
,,追加番号,05030909414,,Lead,3ch,3ch,muse-kobe,,ミューズ・コーポレーション株式会社,対応不要,,◯,◯,なし,,https://widsley.lightning.force.com/lightning/r/Opportunity/0062t0000056IlBAAU/related/OpportunityLineItems/view
,,追加番号,05030909415,,Lead,1ch,1ch,worksinsurance,,WORKS INSURANCE株式会社,請求修正ー確認必要,,"【不足】番号利用料0ABJ：1不足
→9月から減らす分で1になる","【過剰】チャネル利用料：2過剰
",なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3ABZd7RFU7s8XpmOZhwP06wQ
,,追加番号,05030909416,,Lead,3ch,3ch,facing,,facing株式会社,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AJ43MEUdTJ8DIYvUems_K5Q
,,追加番号,05030909417,,Lead,2ch,2ch,facing,,,,,,,,,
,,追加番号,05030909419,,Lead,1ch,1ch,facing,,,,,,,,,
,,追加番号,05030909421,,Lead,1ch,1ch,facing,,,,,,,,,
,,追加番号,05030909422,,Lead,19ch,19ch,global-cast,,株式会社グローバルキャスト,,,,,,,
,,追加番号,05030936415,,Lead,1ch,1ch,seifukan-gakuin,,株式会社青楓館,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3A8aySSZYPdu9DGqQ_-5w88w
,,追加番号,05030936489,,Lead,3ch,3ch,visionary-marketing,,株式会社ビジョナリーマーケティング,,,,,,,
,,追加番号,05030936496,08003005890,Lead,47ch,47ch,myhm,,株式会社マイホム,,,,,,,
,,,,,,,,,,,,,,,,,
"【再販050番号契約９】050番号（F-circuit09 ①）
d701724395
10ch
本契約コードの次回申請は◯/◯以降の申請が可能",10,基本番号,05031985523,,,,,No matching records found,,,,,,,,,
,,追加番号,05031985524,08003006275,Lead,10ch,10ch,apclo001,,株式会社HIGHER,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AYfK1lrxpXbksOjbueo__XA
,,,,,,,,,,,,,,,,,
"【再販050番号契約１１】050番号（E-circuit05 ⑪）
d470505550
35ch
本契約コードの次回申請は5/2以降の申請が可能",13,基本番号,05031351272,,,,,No matching records found,,,,,,,,,
,,追加番号,05030858115,,Flat,1ch,1ch,Pkshademo,,株式会社 PKSHA Technology,請求修正ー確認必要,,請求先どこ？,請求先どこ？,請求先どこ？,hikaru,
,,追加番号,05031985803,,Flat,1ch,1ch,amemiya,,誠心堂株式会社,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3A8VlwX_J7tHNCwmzHDHcfog
,,追加番号,05032051582,,Flat,1ch,1ch,takadainaika-clinic,,高台内科クリニック,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3An-UOpreAVEvFsUM75y6sAQ
,,追加番号,05032051583,,Flat,2ch,2ch,johohighway,,情報ハイウェイ協同組合,請求修正ー確認必要,,"【不足】Comdesk Flat 回線月額費用 (050)：1不足
→全解約進んでいるなら対応不要？",◯,なし,hiakru,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AOWP9c0bdB8XpN_M9SgIF2Q
,,追加番号,05032051584,,Flat,2ch,2ch,johohighway,,,,,,,,,
,,追加番号,05032051585,,Flat,2ch,2ch,johohighway,,,,,,,,,
,,追加番号,05032051586,,Flat,2ch,2ch,johohighway,,,,,,,,,
,,追加番号,05032051587,,Flat,2ch,2ch,johohighway,,,,,,,,,
,,,,,,,,,,,,,,,,,
"【再販050番号契約１２】050番号（SB-circuit06 ①）
d239516066
100ch
本契約コードの次回申請は3/1以降の申請が可能",40,基本番号,05030957845,,,,,No matching records found,,,,,,,,,
,,追加番号,05032051634,,Flat,2ch,2ch,Denrai,,株式会社Denrai,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AMrY06rf9Mo61oGr4iOmI9w
,,追加番号,05032051635,,Flat,2ch,2ch,projectgroup,,株式会社P.G.ESTATE,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AHk_PdFkGjs--OljCrcVcRg
,,追加番号,05031985833,,Flat,2ch,2ch,PrimeNumbers,,株式会社プライム・ナンバーズ,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AMDW5gbb3y7wC6GLwJ0D_LQ
,,追加番号,05031985877,,Flat,2ch,2ch,PrimeNumbers,,,,,,,,,
,,追加番号,05031985920,,Flat,2ch,2ch,itosuru-design,,itosuru.design,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3ACeULp9n2aw9p7okcvNutrg
,,追加番号,05032051575,,Flat,2ch,2ch,MAGOICHI,,株式会社孫市,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=body%3A%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E5%AD%AB%E5%B8%82
,,追加番号,05032051576,,Flat,2ch,2ch,johohighway,,情報ハイウェイ協同組合,,,,,,,
,,追加番号,05032051577,,Flat,2ch,2ch,johohighway,,情報ハイウェイ協同組合,,,,,,,
,,追加番号,05031334677,,Flat,2ch,2ch,johohighway,,情報ハイウェイ協同組合,,,,,,,
,,追加番号,05031334678,,Flat,2ch,2ch,johohighway,,情報ハイウェイ協同組合,,,,,,,
,,追加番号,05031334679,,Flat,2ch,2ch,johohighway,,情報ハイウェイ協同組合,,,,,,,
,,追加番号,05032051578,,Flat,1ch,1ch,playwork,,株式会社PLAYWORK,請求修正ー確認必要,,◯,ch請求ルールの確認,なし,hikaru,https://widsley.lightning.force.com/lightning/r/Opportunity/0062t000006tpx3AAA/related/OpportunityLineItems/view
,,追加番号,05030981289,0120584066,新Flat,2ch,2ch,playwork,,,,,,,,,
,,追加番号,05032051579,,Flat,3ch,3ch,apms-japan,,株式会社アプメス,,,,,,,
,,追加番号,05031742926,,Flat,2ch,2ch,apms-japan,,株式会社アプメス,,,,,,,
,,追加番号,05031742930,,Flat,2ch,2ch,wadaueki,,有限会社和田植木,対応不要,,◯,◯,なし,,
,,追加番号,05032051580,,Flat,2ch,2ch,wadaueki,,,,,,,,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AR5gi9EYKPynavsAQmooH9g
,,追加番号,05031334676,0120687430,Flat,2ch,2ch,memorial-display,,株式会社メモリアルディスプレイ,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AikIPmdea22VTxLHAgSJbWg
,,追加番号,05031742924,,Flat,4ch,4ch,tanabeconsulting,,株式会社タナベコンサルティング,請求修正ー確認必要,,◯,【過剰】Comdesk Flat Option : チャネルアップ：2過剰,なし,hikaru,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AeD2AJv5YCTBuMC-1HifWeg
,,,,,,,,,,,,,,,,,
"【再販050番号契約１３】050番号（G-circuit06 ①）
d025334176
13ch
本契約コードの次回申請は9/1以降の申請が可能",13,基本番号,05031742914,,,,,No matching records found,,,,,,,,,
,,追加番号,05031988783,0120177025,Flat,2ch,2ch,NEC,,日本電気株式会社,対応不要,,◯,◯,なし,hikaru,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3A42147dmMgtMgTOZHZ2zbOA
,,追加番号,05031988784,,Flat,2ch,2ch,beglobal,,マルゴト株式会社,対応不要,,◯,◯,なし,hikaru,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3Ab7-0Fcz9yNJ1NDfK8OIfTQ
,,追加番号,05031741324,,Flat,5ch,5ch,apms-japan,,株式会社アプメス,,,,,,,
,,追加番号,05031741328,,Flat,2ch,2ch,apms-japan,,株式会社アプメス,,,,,,,
,,追加番号,05031747235,,Flat,2ch,2ch,apms-japan,,株式会社アプメス,,,,,,,
,,,,,,,,,,,,,,,,,
"【再販050番号契約１４】050番号（F-circuit08 ①）
d466923835
22ch
本契約コードの次回申請は8/24以降の申請が可能",22,基本番号,05030946224,,,,,,,,,,,,,,
,,追加番号,05030946245,0120613594,Lead,6ch,6ch,litalico,,株式会社LITALICO,請求修正ー確認必要,,◯（9月から番号利用料フリーダイヤル*9）,◯（9月から22ch）（番ポ完了次第24ch）,なし,ota,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AycskIgZ8y14Ajg4FL3aDGw
,,追加番号,05030946253,0120907376,Lead,6ch,,litalico,,,,,,"【ユニットch対応】以下4パターン
①手数料をいただいてグループ化を実施（＋SA~SC回線へ同番移行）
②22chを13回線で分け合うか
③回線それぞれ必要最大数分いただくか
④拡大を見越して専用契約とするか",,,
,,追加番号,05030946349,0120901835,Lead,5ch,5ch,litalico,,,,,,,,,
,,追加番号,05030946350,0120901786,Lead,5ch,,litalico,,,,,,,,,
,,追加番号,05030946506,0120974763,Lead,5ch,,litalico,,,,,,,,,
,,追加番号,05030946508,0120951597,Lead,5ch,,litalico,,,,,,,,,
,,追加番号,05030946512,0120153608,Lead,5ch,,litalico,,,,,,,,,
,,追加番号,05030946337,0120951712,Lead,5ch,5ch,litalico,,,,,,,,,
,,追加番号,05030946221,,Lead,2ch,2ch,litalico,,,,,,,,,
,,追加番号,05030946251,,Lead,3ch,3ch,litalico,,,,,,,,,
,,追加番号,05030907095,,Lead,6ch,,litalico,,,,,,,,,
,,追加番号,05030909420,,Lead,6ch,,litalico,,,,,,,,,
,,追加番号,05030980278,0120985465,Lead,1ch,1ch,litalico,,,,,,,,,
,,,,,,,,,,,,,,,,,
"【再販050番号契約１５】050番号（G-circuit10 ②）
d280234542
90ch
本契約コードの次回申請は8/18以降の申請が可能
同番移行先",90,基本番号,05030980249,,,,,,,,,,,,,,
,,追加番号,05030936488,,Lead,90ch,90ch,amuse,,AMUSE株式会社,対応不要,,◯,◯,なし,ayui,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AljlHDPmrdMOYZErZSG_xMg
,,,,,,,,,,,,,,,,,
